Name	NOC	City	Year	Sport	Event	Medal
Christina Wilhelmina ""Stien"" Baas-Kaiser	NED	Grenoble	1968	Speed Skating	Speed Skating Women's 3,000 metres	Bronze
Christina Wilhelmina ""Stien"" Baas-Kaiser	NED	Sapporo	1972	Speed Skating	Speed Skating Women's 1,500 metres	Silver
Christina Wilhelmina ""Stien"" Baas-Kaiser	NED	Sapporo	1972	Speed Skating	Speed Skating Women's 3,000 metres	Gold
Yevgeny Makarovich Babich	URS	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Sergey Panteleymonovich Babinov	URS	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Jochen Babock	GDR	Innsbruck	1976	Bobsleigh	Bobsleigh Men's Four	Gold
Reinhold Bachler	AUT	Grenoble	1968	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Silver
Ulrich ""Ueli"" Bchli	SUI	Innsbruck	1976	Bobsleigh	Bobsleigh Men's Four	Silver
Ulrich ""Ueli"" Bchli	SUI	Lake Placid	1980	Bobsleigh	Bobsleigh Men's Four	Silver
David Anthony Backes	USA	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Rune Christian Bckman	SWE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Kjell Hilding Bckman	SWE	Squaw Valley	1960	Speed Skating	Speed Skating Men's 10,000 metres	Bronze
Lars Nicklas Bckstrm	SWE	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Niklas Oskar Bckstrm	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Josef ""Pepi"" Bader	FRG	Grenoble	1968	Bobsleigh	Bobsleigh Men's Two	Silver
Josef ""Pepi"" Bader	FRG	Sapporo	1972	Bobsleigh	Bobsleigh Men's Two	Silver
Sherwin Campbell Badger	USA	Lake Placid	1932	Figure Skating	Figure Skating Mixed Pairs	Silver
Shannon Deanne Bahrke	USA	Salt Lake City	2002	Freestyle Skiing	Freestyle Skiing Women's Moguls	Silver
Shannon Deanne Bahrke	USA	Vancouver	2010	Freestyle Skiing	Freestyle Skiing Women's Moguls	Bronze
Ernst Baier	GER	Garmisch-Partenkirchen	1936	Figure Skating	Figure Skating Men's Singles	Silver
Ernst Baier	GER	Garmisch-Partenkirchen	1936	Figure Skating	Figure Skating Mixed Pairs	Gold
Anke Baier-Loef	GER	Lillehammer	1994	Speed Skating	Speed Skating Women's 1,000 metres	Silver
Christina ""Chris"" Bailey	USA	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Christina ""Chris"" Bailey	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Sandrine Bailly	FRA	Torino	2006	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Bronze
Sandrine Bailly	FRA	Vancouver	2010	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Silver
Patrice Bailly-Salins	FRA	Lillehammer	1994	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Oksana Serhivna Baiul	UKR	Lillehammer	1994	Figure Skating	Figure Skating Women's Singles	Gold
Wiliam Robert ""Bill"" Baker	USA	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Laurie Baker (-Mutch)	USA	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Laurie Baker (-Mutch)	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Jill Bakken (-Linder)	USA	Salt Lake City	2002	Bobsleigh	Bobsleigh Women's Two	Gold
Glenys Bakker	CAN	Torino	2006	Curling	Curling Women's Curling	Bronze
Nicolas Bal	FRA	Nagano	1998	Nordic Combined	Nordic Combined Men's Team	Bronze
Helmts Balderis-Sildedzis	URS	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Rudolf Victor ""Rudi"" Ball	GER	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ivar Eugen Ballangrud (Eriksen-)	NOR	Sankt Moritz	1928	Speed Skating	Speed Skating Men's 1,500 metres	Bronze
Ivar Eugen Ballangrud (Eriksen-)	NOR	Sankt Moritz	1928	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Ivar Eugen Ballangrud (Eriksen-)	NOR	Lake Placid	1932	Speed Skating	Speed Skating Men's 10,000 metres	Silver
Ivar Eugen Ballangrud (Eriksen-)	NOR	Garmisch-Partenkirchen	1936	Speed Skating	Speed Skating Men's 500 metres	Gold
Ivar Eugen Ballangrud (Eriksen-)	NOR	Garmisch-Partenkirchen	1936	Speed Skating	Speed Skating Men's 1,500 metres	Silver
Ivar Eugen Ballangrud (Eriksen-)	NOR	Garmisch-Partenkirchen	1936	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Ivar Eugen Ballangrud (Eriksen-)	NOR	Garmisch-Partenkirchen	1936	Speed Skating	Speed Skating Men's 10,000 metres	Gold
Hans Bnninger	SUI	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Nataliya Ivanovna Baranova (Masolkina-)	RUS	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Anders Bardal	NOR	Vancouver	2010	Ski Jumping	Ski Jumping Men's Large Hill, Team	Bronze
Anders Bardal	NOR	Sochi	2014	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Bronze
Aleksander Barkov	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Petr Barna	TCH	Albertville	1992	Figure Skating	Figure Skating Men's Singles	Bronze
Vladimir Mikhaylovich Barnashov	URS	Lake Placid	1980	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Thomas Patrick ""Tom"" Barrasso	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Corinne ""Cori"" Bartel (-Morris)	CAN	Vancouver	2010	Curling	Curling Women's Curling	Silver
Wolfgang Bartels	GER	Innsbruck	1964	Alpine Skiing	Alpine Skiing Men's Downhill	Bronze
Kenneth Eldred ""Ken"" Bartholomew (Bartholomay-)	USA	Sankt Moritz	1948	Speed Skating	Speed Skating Men's 500 metres	Silver
Donald Brian ""Don"" Bartlett	CAN	Salt Lake City	2002	Curling	Curling Men's Curling	Silver
Randall Earl ""Randy"" Bartz	USA	Lillehammer	1994	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
Varvara Borisovna Barysheva	RUS	Torino	2006	Speed Skating	Speed Skating Women's Team Pursuit (6 laps)	Bronze
Guillaume Bastille	CAN	Vancouver	2010	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Gold
Oleksandr Mykhailovych Batiuk	URS	Sarajevo	1984	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Luk Bauer	CZE	Torino	2006	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Silver
Luk Bauer	CZE	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Bronze
Luk Bauer	CZE	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Viola Bauer	GER	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 5/5 kilometres Pursuit	Bronze
Viola Bauer	GER	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Viola Bauer	GER	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Silver
Pierre Baugniet	BEL	Sankt Moritz	1948	Figure Skating	Figure Skating Mixed Pairs	Gold
Yury Nikolayevich Baulin	URS	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Alex Baumann	SUI	Sochi	2014	Bobsleigh	Bobsleigh Men's Two	Silver
Hans-Jrgen Bumler	GER	Squaw Valley	1960	Figure Skating	Figure Skating Mixed Pairs	Silver
Hans-Jrgen Bumler	GER	Innsbruck	1964	Figure Skating	Figure Skating Mixed Pairs	Silver
Sergey Viktorovich Bautin	EUN	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Allison Baver	USA	Vancouver	2010	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Bronze
Florence  Andre Isabelle Baverel-Robert	FRA	Torino	2006	Biathlon	Biathlon Women's 7.5 kilometres Sprint	Gold
Florence  Andre Isabelle Baverel-Robert	FRA	Torino	2006	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Bronze
Svetlana Valeryevna Bazhanova	RUS	Lillehammer	1994	Speed Skating	Speed Skating Women's 3,000 metres	Gold
Nikolay Serafimovich Bazhukov	URS	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Gold
Nikolay Serafimovich Bazhukov	URS	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Nikolay Serafimovich Bazhukov	URS	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Jean-Guillaume Batrix	FRA	Sochi	2014	Biathlon	Biathlon Men's 12.5 kilometres Pursuit	Bronze
Sylvie Becaert	FRA	Torino	2006	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Bronze
Sylvie Becaert	FRA	Vancouver	2010	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Silver
Kelly Bchard	CAN	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Yelena Yuryevna Bechke (-Petrova, -Ellis)	EUN	Albertville	1992	Figure Skating	Figure Skating Mixed Pairs	Silver
Hans Arnold Beck	NOR	Lake Placid	1932	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Silver
Sabine Becker	GDR	Lake Placid	1980	Speed Skating	Speed Skating Women's 1,500 metres	Bronze
Sabine Becker	GDR	Lake Placid	1980	Speed Skating	Speed Skating Women's 3,000 metres	Silver
Stephanie Beckert	GER	Vancouver	2010	Speed Skating	Speed Skating Women's 3,000 metres	Silver
Stephanie Beckert	GER	Vancouver	2010	Speed Skating	Speed Skating Women's 5,000 metres	Silver
Stephanie Beckert	GER	Vancouver	2010	Speed Skating	Speed Skating Women's Team Pursuit (6 laps)	Gold
ric Bdard	CAN	Nagano	1998	Short Track Speed Skating	Short Track Speed Skating Men's 1,000 metres	Bronze
ric Bdard	CAN	Nagano	1998	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Gold
ric Bdard	CAN	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Gold
ric Bdard	CAN	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
Myriam Bdard	CAN	Albertville	1992	Biathlon	Biathlon Women's 15 kilometres	Bronze
Myriam Bdard	CAN	Lillehammer	1994	Biathlon	Biathlon Women's 7.5 kilometres Sprint	Gold
Myriam Bdard	CAN	Lillehammer	1994	Biathlon	Biathlon Women's 15 kilometres	Gold
Vladimr Bedn	TCH	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Binia Beeli (-Feltscher)	SUI	Torino	2006	Curling	Curling Women's Curling	Silver
Manfred Beer	GDR	Innsbruck	1976	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Joseph Beerli	SUI	Garmisch-Partenkirchen	1936	Bobsleigh	Bobsleigh Men's Two	Silver
Joseph Beerli	SUI	Garmisch-Partenkirchen	1936	Bobsleigh	Bobsleigh Men's Four	Gold
Dale Begg-Smith	AUS	Torino	2006	Freestyle Skiing	Freestyle Skiing Men's Moguls	Gold
Dale Begg-Smith	AUS	Vancouver	2010	Freestyle Skiing	Freestyle Skiing Men's Moguls	Silver
Petra Behle-Schaaf	GER	Albertville	1992	Biathlon	Biathlon Women's 3 x 7.5 kilometres Relay	Silver
Petra Behle-Schaaf	GER	Lillehammer	1994	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Silver
Petra Behle-Schaaf	GER	Nagano	1998	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Gold
Jan Behrendt	GDR	Calgary	1988	Luge	Luge Mixed (Men)'s Doubles	Silver
Jan Behrendt	GER	Albertville	1992	Luge	Luge Mixed (Men)'s Doubles	Gold
Jan Behrendt	GER	Lillehammer	1994	Luge	Luge Mixed (Men)'s Doubles	Bronze
Jan Behrendt	GER	Nagano	1998	Luge	Luge Mixed (Men)'s Doubles	Gold
Tanith Jessica Louise Belbin	USA	Torino	2006	Figure Skating	Figure Skating Mixed Ice Dancing	Silver
Kacey Lee Bellamy	USA	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Kacey Lee Bellamy	USA	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Stefania Belmondo	ITA	Albertville	1992	Cross Country Skiing	Cross Country Skiing Women's 30 kilometres	Gold
Stefania Belmondo	ITA	Albertville	1992	Cross Country Skiing	Cross Country Skiing Women's 5/10 kilometres Pursuit	Silver
Stefania Belmondo	ITA	Albertville	1992	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Stefania Belmondo	ITA	Lillehammer	1994	Cross Country Skiing	Cross Country Skiing Women's 5/10 kilometres Pursuit	Bronze
Stefania Belmondo	ITA	Lillehammer	1994	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Stefania Belmondo	ITA	Nagano	1998	Cross Country Skiing	Cross Country Skiing Women's 30 kilometres	Silver
Stefania Belmondo	ITA	Nagano	1998	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Stefania Belmondo	ITA	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Bronze
Stefania Belmondo	ITA	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 15 kilometres	Gold
Stefania Belmondo	ITA	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 30 kilometres	Silver
Vladimir Pavlovich Belousov	URS	Grenoble	1968	Ski Jumping	Ski Jumping Men's Large Hill, Individual	Gold
Yevgeny Vladimirovich Belousov	URS	Sarajevo	1984	Luge	Luge Mixed (Men)'s Doubles	Silver
Lyudmila Yevgenevna Belousova (-Protopopova)	URS	Innsbruck	1964	Figure Skating	Figure Skating Mixed Pairs	Gold
Lyudmila Yevgenevna Belousova (-Protopopova)	URS	Grenoble	1968	Figure Skating	Figure Skating Mixed Pairs	Gold
Yelena Pavlovna Belova (-Kalyanova)	EUN	Albertville	1992	Biathlon	Biathlon Women's 7.5 kilometres Sprint	Bronze
Yelena Pavlovna Belova (-Kalyanova)	EUN	Albertville	1992	Biathlon	Biathlon Women's 3 x 7.5 kilometres Relay	Bronze
Aleksandr Vladimirovich Belyakov	URS	Sarajevo	1984	Luge	Luge Mixed (Men)'s Doubles	Silver
Yevgeny Prokopyevich Belyayev	URS	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Silver
Yevgeny Prokopyevich Belyayev	URS	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Yevgeny Prokopyevich Belyayev	URS	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Jaroslav Benk	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Pavel Benc	TCH	Calgary	1988	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Stanley Delong ""Stan"" Benham	USA	Oslo	1952	Bobsleigh	Bobsleigh Men's Two	Silver
Stanley Delong ""Stan"" Benham	USA	Oslo	1952	Bobsleigh	Bobsleigh Men's Four	Silver
James Randolph ""Jamie"" Benn	CAN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Maurice ""Moe"" Benoit	CAN	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
John Peale ""Johnny"" Bent	USA	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Laura Benz	SUI	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Sara Benz	SUI	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Josef ""Sepp"" Benz	SUI	Innsbruck	1976	Bobsleigh	Bobsleigh Men's Two	Bronze
Josef ""Sepp"" Benz	SUI	Innsbruck	1976	Bobsleigh	Bobsleigh Men's Four	Silver
Josef ""Sepp"" Benz	SUI	Lake Placid	1980	Bobsleigh	Bobsleigh Men's Two	Gold
Josef ""Sepp"" Benz	SUI	Lake Placid	1980	Bobsleigh	Bobsleigh Men's Four	Silver
Josef Bernek	CZE	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Yelena Viktorovna Berezhnaya	RUS	Nagano	1998	Figure Skating	Figure Skating Mixed Pairs	Silver
Yelena Viktorovna Berezhnaya	RUS	Salt Lake City	2002	Figure Skating	Figure Skating Mixed Pairs	Gold
Aki-Petteri Arvid ""Aki"" Berg	FIN	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Aki-Petteri Arvid ""Aki"" Berg	FIN	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Guttorm Berge	NOR	Oslo	1952	Alpine Skiing	Alpine Skiing Men's Slalom	Bronze
Alfred Berger	AUT	Chamonix	1924	Figure Skating	Figure Skating Mixed Pairs	Gold
John Filip Berger	SWE	Garmisch-Partenkirchen	1936	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Lars Berger	NOR	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Tora Berger (-Tveldal)	NOR	Vancouver	2010	Biathlon	Biathlon Women's 15 kilometres	Gold
Tora Berger (-Tveldal)	NOR	Sochi	2014	Biathlon	Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay	Gold
Tora Berger (-Tveldal)	NOR	Sochi	2014	Biathlon	Biathlon Women's 10 kilometres Pursuit	Silver
Tora Berger (-Tveldal)	NOR	Sochi	2014	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Bronze
Patrice Bergeron-Cleary	CAN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Patrice Bergeron-Cleary	CAN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Emelie Anna Berggren	SWE	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Bo Abel Berglund	SWE	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Bo Abel Berglund	SWE	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ralph Douglas Charles Berglund	SWE	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Anders Patrik Berglund	SWE	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Emil Bergman	SWE	Sankt Moritz	1928	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Arnfinn Bergmann	NOR	Oslo	1952	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Eric Bergoust	USA	Nagano	1998	Freestyle Skiing	Freestyle Skiing Men's Aerials	Gold
Pr Jonas Bergqvist	SWE	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Pr Jonas Bergqvist	SWE	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Jacob Jorrit Bergsma	NED	Sochi	2014	Speed Skating	Speed Skating Men's 5,000 metres	Bronze
Jacob Jorrit Bergsma	NED	Sochi	2014	Speed Skating	Speed Skating Men's 10,000 metres	Gold
Margit Anna Kristina Bergstrand	SWE	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Cheryl Bernard (Kullman-)	CAN	Vancouver	2010	Curling	Curling Women's Curling	Silver
Ignaz Berndaner	FRG	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Franz Bernreiter	FRG	Lake Placid	1980	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Hedda Helene Berntsen	NOR	Vancouver	2010	Freestyle Skiing	Freestyle Skiing Women's Ski Cross	Silver
Georges Camille Berthet	FRA	Chamonix	1924	Military Ski Patrol	Military Ski Patrol Men's Military Ski Patrol	Bronze
Christina Bertrup	SWE	Sochi	2014	Curling	Curling Women's Curling	Silver
Aleksandr Andreyevich Bessmertnykh	RUS	Sochi	2014	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Nataliya Filimonovna Bestemyanova (-Bobrina)	URS	Sarajevo	1984	Figure Skating	Figure Skating Mixed Ice Dancing	Silver
Nataliya Filimonovna Bestemyanova (-Bobrina)	URS	Calgary	1988	Figure Skating	Figure Skating Mixed Ice Dancing	Gold
Janice ""Jan"" Betker	CAN	Nagano	1998	Curling	Curling Women's Curling	Gold
Uwe Bewersdorf	GDR	Lake Placid	1980	Figure Skating	Figure Skating Mixed Pairs	Bronze
Ivan Ivanovych Biakov	URS	Sapporo	1972	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Ivan Ivanovych Biakov	URS	Innsbruck	1976	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Nino Bibbia	ITA	Sankt Moritz	1948	Skeleton	Skeleton Men's Skeleton	Gold
James John ""Jim"" Bickford, Jr.	USA	Sankt Moritz	1948	Bobsleigh	Bobsleigh Men's Four	Bronze
Laurence Bidaud (-Gradwohl)	SUI	Salt Lake City	2002	Curling	Curling Women's Curling	Silver
Jane Bidstrup	DEN	Nagano	1998	Curling	Curling Women's Curling	Silver
Heidi Biebl (-Schmid, -Prelevi)	GER	Squaw Valley	1960	Alpine Skiing	Alpine Skiing Women's Downhill	Gold
Christoph Bieler	AUT	Salt Lake City	2002	Nordic Combined	Nordic Combined Men's Team	Bronze
Christoph Bieler	AUT	Torino	2006	Nordic Combined	Nordic Combined Men's Team	Gold
Christoph Bieler	AUT	Sochi	2014	Nordic Combined	Nordic Combined Men's Team	Bronze
Alfred ""Fredy"" Bieler	SUI	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Alexandre ""Alex"" Bilodeau	CAN	Vancouver	2010	Freestyle Skiing	Freestyle Skiing Men's Moguls	Gold
Alexandre ""Alex"" Bilodeau	CAN	Sochi	2014	Freestyle Skiing	Freestyle Skiing Men's Moguls	Gold
Zinetula Khaidarovich Bilyaletdinov	URS	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Zinetula Khaidarovich Bilyaletdinov	URS	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
David Bissett	CAN	Vancouver	2010	Bobsleigh	Bobsleigh Men's Four	Bronze
Bodo Bittner	FRG	Innsbruck	1976	Bobsleigh	Bobsleigh Men's Four	Bronze
Reuben Eugene ""Rube"" Bjorkman	USA	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Lars Gunnar Raldo Bjrn	SWE	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Marit Bjrgen	NOR	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Silver
Marit Bjrgen	NOR	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Silver
Marit Bjrgen	NOR	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's Sprint	Gold
Marit Bjrgen	NOR	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Bronze
Marit Bjrgen	NOR	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's 30 kilometres	Silver
Marit Bjrgen	NOR	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's 15 km Skiathlon	Gold
Marit Bjrgen	NOR	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Marit Bjrgen	NOR	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's 30 kilometres	Gold
Marit Bjrgen	NOR	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's 15 km Skiathlon	Gold
Marit Bjrgen	NOR	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's Team Sprint	Gold
Dag Bjrndalen	NOR	Nagano	1998	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Ole Einar Bjrndalen	NOR	Nagano	1998	Biathlon	Biathlon Men's 10 kilometres Sprint	Gold
Ole Einar Bjrndalen	NOR	Nagano	1998	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Ole Einar Bjrndalen	NOR	Salt Lake City	2002	Biathlon	Biathlon Men's 10 kilometres Sprint	Gold
Ole Einar Bjrndalen	NOR	Salt Lake City	2002	Biathlon	Biathlon Men's 12.5 kilometres Pursuit	Gold
Ole Einar Bjrndalen	NOR	Salt Lake City	2002	Biathlon	Biathlon Men's 20 kilometres	Gold
Ole Einar Bjrndalen	NOR	Salt Lake City	2002	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Ole Einar Bjrndalen	NOR	Torino	2006	Biathlon	Biathlon Men's 12.5 kilometres Pursuit	Silver
Ole Einar Bjrndalen	NOR	Torino	2006	Biathlon	Biathlon Men's 15 kilometres Mass Start	Bronze
Ole Einar Bjrndalen	NOR	Torino	2006	Biathlon	Biathlon Men's 20 kilometres	Silver
Ole Einar Bjrndalen	NOR	Vancouver	2010	Biathlon	Biathlon Men's 20 kilometres	Silver
Ole Einar Bjrndalen	NOR	Vancouver	2010	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Ole Einar Bjrndalen	NOR	Sochi	2014	Biathlon	Biathlon Men's 10 kilometres Sprint	Gold
Ole Einar Bjrndalen	NOR	Sochi	2014	Biathlon	Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay	Gold
Frdric Blackburn	CAN	Albertville	1992	Short Track Speed Skating	Short Track Speed Skating Men's 1,000 metres	Silver
